1,Elderberry (Sambucus),Common,http://en.wikipedia.org/wiki/Sambucus,Keisha,Needs Editing
2,Banana,Uncommon,http://en.wikipedia.org/wiki/Banana,Keisha,Needs Editing
3,Blueberry,Common,http://en.wikipedia.org/wiki/Blueberry,Keisha,Needs Editing
4,Grape,Common,http://en.wikipedia.org/wiki/Grape,Keisha,Needs Editing
5,Gojiberry,Common,http://en.wikipedia.org/wiki/Gojiberry,Keisha,Needs Editing
6,Strawberry,Common,http://en.wikipedia.org/wiki/Strawberry,Keisha,Needs Editing
7,Blackberry,Common,http://en.wikipedia.org/wiki/Blackberry,Keisha,Needs Editing
8,Raspberry,Common,http://en.wikipedia.org/wiki/Raspberry,Keisha,Needs Editing
9,Watermelon,Uncommon,http://en.wikipedia.org/wiki/Watermelon,Keisha,Needs Editing
10,Nutritional Value,Nutritional Value,Wikipedia,Keisha,Needs Editing
11,Uses,Uses,Wikipedia,Keisha,Needs Editing
12,Uncommon,Uncommon,Wikipedia,Keisha,Needs Editing
13,Common,Common,Wikipedia,Keisha,Needs Editing
14,Inedible,Nutritional Value,Wikipedia,Keisha,Needs Editing
15,Medicinal Uses,Medicinal Uses,Wikipedia,Keisha,Needs Editing
16,What is a Berry?,What is a Berry?,Wikipedia,Keisha,Needs Editing
